frame;red;green;blue
366;96.5444332663;90.4884305835;75.1051307847
367;98.3062330623;92.0441575004;77.2893352463
368;98.3959827834;92.1756735214;77.3631436314
369;99.4648181276;93.5505366726;79.7122838402
370;99.3282647585;93.404293381;79.6657722123
371;99.3515205725;93.3959451401;79.3491353608
372;99.3831246273;93.5998807394;78.9949314252
373;98.94030514;93.6876018368;78.0746556066
374;98.6726296959;93.3847644603;77.7377757901
375;98.7926864802;93.5814393939;77.4246794872
376;98.7393648019;93.5359848485;77.2743298368
377;98.254002287;93.229130932;77.570754717
378;98.2216628308;93.1693037975;77.3934119678
379;97.9697443182;93.4271306818;78.0117897727
380;97.6257102273;93.6467329545;77.7052556818
381;97.3495549813;92.588142406;77.0946023543
382;97.6295878035;92.675042349;77.2060982496
383;97.7783738001;92.7617165443;77.7049689441
384;97.6060135517;92.6571146245;77.9126199887
385;96.9301346801;91.7174523008;77.1394500561
386;96.8968855219;91.7571548822;77.0994668911
387;96.8181818182;91.553125;76.8414772727
388;96.7464488636;91.5677556818;76.8353693182
389;96.494622093;90.8444767442;76.4838662791
390;96.4130813953;90.8966569767;76.1872093023
391;97.3441358025;91.2842312009;76.8315095398
392;97.2756734007;91.4785353535;76.2066498316
393;96.8749294184;90.9282891022;76.0852625635
394;96.7213438735;91.1524562394;75.7617165443
395;96.6948653199;90.5757575758;76.476010101
396;96.6886924804;90.6440796857;76.7167508418
397;97.1925925926;91.7740740741;76.9931412894
398;96.7058080808;91.1398709315;76.0859988777
399;96.0961321287;90.4298418972;76.1935347261
400;95.5247035573;90.9925183512;75.5707227555
401;95.5242704826;90.7734287318;75.5346520763
402;95.6044168392;91.157073844;75.1446514838
403;96.1140572391;90.4891975309;75.527637486
404;96.2745510662;90.5538720539;75.7058080808
405;96.2611518916;90.6038961039;75.9186900056
406;96.313973064;90.9239618406;76.051627385
407;96.7299039781;91.3545953361;76.4037037037
408;96.2695005612;90.749298541;75.3794893378
409;97.1284464475;91.6022004242;77.0953075292
410;96.5040435025;90.5985778026;77.0617679866
411;96.0537879869;89.9744614068;76.7672991868
412;95.991296904;90.0152660865;76.6902553859
413;96.0298593167;89.8818547229;76.0640252656
414;96.0674705713;89.9068331898;76.100488085
415;97.1419408812;90.5970440602;77.6332961517
416;97.1309258226;90.6423591746;77.3646123815
417;96.6698271054;90.65672058;76.8990518684
418;96.7533463469;90.5941160067;77.0082264361
419;97.0558361392;90.4652076319;77.1711560045
420;97.0455948373;90.3848204265;77.233305275
421;96.5252525253;90.5230078563;76.6941638608
422;96.8345959596;90.6331369248;77.18167789
423;96.939674523;90.4741863075;77.3216891134
424;97.1467452301;90.7584175084;77.3601290685
425;96.4624054787;90.3414181766;77.2215722642
426;96.4741602067;90.2315532587;77.1919322423
427;96.9544051627;90.4863916947;77.1111111111
428;96.9712401796;90.5677609428;77.310325477
429;96.5996880318;90.6133011912;76.5208451503
430;96.1676891616;90.0809231668;76.2085889571
431;97.6412404468;91.8805114638;77.3037918871
432;97.6776895944;92.015138154;77.5806878307
433;98.7578787879;93.333030303;77.3318181818
434;99.0827078734;93.7908756439;77.9143487859
435;98.7899122807;93.3067251462;77.4071637427
436;98.8902046784;93.4051169591;77.4399122807
437;98.1422182469;92.2146690519;76.4916517591
438;98.5097610723;92.7492715618;77.0473484848
439;97.76861937;92.5875772741;77.4774801295
440;97.0840447454;92.8815130998;76.8994701207
441;96.4517781796;92.2805907173;76.5632911392
442;96.3086138914;92.127236882;76.4441916894
443;96.4372710623;91.2922771673;76.2654151404
444;96.4821428571;91.3368437118;76.3182234432
445;96.1627065303;90.3904012589;76.07631786
446;96.4150537634;91.121812596;75.9192012289
447;96.3872814949;91.0786618445;76.762808921
448;96.4195298373;91.2971669681;76.5039180229
449;95.7017781796;90.8386075949;76.0658529234
450;95.713836478;90.6728062294;76.5889487871
451;96.4388838338;91.9687594783;75.7503791325
452;96.4529875645;92.1108583561;75.4584470731
453;101.151573427;97.5445804196;81.4655594406
454;100.847902098;97.7108391608;81.1842657343
455;101.47594246;99.0044642857;83.607390873
456;101.320551378;98.6997493734;83.4506265664
457;92.2202216066;89.3698060942;75.4492151431
458;92.7320175439;89.4539473684;75.7706140351
459;89.9171652094;87.1072250345;72.2590888173
460;89.448787062;87.6284815813;71.41868823
461;90.7043478261;89.581884058;73.3405797101
462;91.0196008553;89.4308624376;74.7138275125
463;92.3895494368;89.917709637;75.4940550688
464;92.7240300375;90.063204005;75.6871088861
465;94.154248366;92.2946405229;76.9921568627
466;93.9602666667;91.5853333333;76.78
467;95.1924019608;92.5801470588;77.6174019608
468;95.2521367521;92.2898441428;77.3174962293
469;96.1071428571;93.6112637363;78.2458791209
470;95.8674136321;93.1181139122;78.1027077498
471;96.8649475524;94.3439685315;78.590472028
472;97.2783018868;94.819897084;78.3081046312
473;97.6675191816;94.805200341;78.4292412617
474;97.7738704177;94.8812872975;78.7289002558
475;97.5416666667;95.0647435897;78.7049145299
476;96.9764705882;94.5738562092;77.6919389978
477;98.6401391162;95.8633387889;79.9515139116
478;98.8331983806;96.120242915;80.1165991903
