frame;x;y
1453;1026;711
1454;1026;711
1455;1023;709
1456;1022;709
1457;1018;708
1458;1018;708
1459;1014;708
1460;1014;708
1461;1010;708
1462;1010;708
1463;1005;707
1464;1005;708
1465;1000;708
1466;999;707
1467;995;707
1468;995;707
1469;991;708
1470;990;708
1471;986;708
1472;986;708
1473;981;709
1474;982;709
1475;977;710
1476;977;709
1477;973;710
1478;973;710
1479;969;711
1480;969;711
1481;965;712
1482;965;712
1483;962;713
1484;962;713
1485;959;714
1486;959;714
1487;955;715
1488;955;715
1489;952;716
1490;952;716
1491;949;717
1492;949;717
1493;947;718
1494;947;718
1495;944;718
1496;944;718
1497;941;717
1498;941;717
1499;938;717
1500;938;717
1501;934;718
1502;934;718
1503;931;718
1504;931;718
1505;927;719
1506;927;719
1507;924;720
1508;924;720
1509;921;721
1510;921;721
1511;919;722
1512;918;722
1513;915;723
1514;915;723
1515;913;724
1516;913;724
1517;910;724
1518;910;724
1519;909;723
1520;908;723
1521;906;722
1522;906;722
1523;902;721
1524;902;721
1525;898;721
1526;898;721
1527;895;721
1528;894;721
1529;891;721
1530;891;721
1531;887;721
1532;887;721
1533;884;721
1534;884;721
1535;881;721
1536;881;721
1537;878;721
1538;877;721
1539;875;722
1540;875;722
1541;873;722
1542;873;722
1543;871;723
1544;871;723
1545;868;724
1546;868;724
1547;866;725
1548;866;725
1549;866;724
1550;866;724
1551;865;723
1552;865;723
1553;863;723
1554;864;723
1555;861;723
1556;861;723
1557;859;723
1558;859;723
1559;856;723
1560;857;723
1561;854;723
1562;854;723
1563;852;723
1564;852;723
1565;850;723
1566;850;723
1567;848;724
1568;848;724
1569;847;725
1570;847;725
1571;845;726
1572;845;726
1573;844;726
1574;844;726
1575;843;726
1576;843;726
1577;843;726
1578;843;726
1579;842;725
1580;842;725
1581;841;726
1582;841;726
1583;840;726
1584;840;726
1585;837;726
1586;838;726
1587;837;727
1588;837;727
1589;835;728
1590;836;728
1591;834;729
1592;834;729
1593;835;729
1594;835;729
1595;835;728
1596;835;728
1597;833;727
1598;832;727
1599;831;726
1600;831;726
1601;829;725
1602;829;725
1603;828;725
1604;828;725
1605;826;724
1606;826;724
1607;825;724
1608;824;724
1609;823;724
1610;823;724
1611;821;724
1612;821;724
1613;820;724
1614;820;724
1615;819;725
1616;819;725
1617;818;726
1618;818;726
1619;817;727
1620;817;727
1621;816;728
1622;816;728
1623;816;729
1624;816;729
1625;816;730
1626;817;730
1627;815;730
1628;815;729
1629;813;728
1630;813;729
1631;812;727
1632;812;727
1633;811;726
1634;811;726
1635;811;726
1636;811;726
1637;810;726
1638;810;726
1639;810;725
1640;809;725
1641;809;725
1642;809;725
1643;809;725
1644;809;725
1645;808;725
1646;809;725
1647;808;725
1648;808;725
1649;808;725
1650;808;725
1651;806;725
1652;807;725
1653;808;728
1654;809;728
1655;807;723
1656;807;723
1657;806;718
1658;806;718
1659;808;714
1660;808;713
1661;810;710
1662;810;710
1663;813;707
1664;813;706
1665;815;704
1666;815;704
1667;817;702
1668;816;703
1669;818;701
1670;818;701
1671;819;699
1672;819;699
1673;821;698
1674;821;698
1675;822;697
1676;822;697
1677;824;696
1678;824;695
1679;825;695
1680;825;695
1681;826;694
1682;826;694
1683;827;694
1684;828;694
1685;829;693
1686;829;693
1687;832;691
1688;832;691
1689;834;689
1690;834;689
1691;835;688
1692;835;688
1693;836;688
1694;836;688
1695;839;688
1696;839;688
1697;840;687
1698;840;687
1699;842;687
1700;842;687
1701;844;687
1702;844;687
1703;846;687
1704;846;687
1705;846;686
1706;847;686
1707;848;684
1708;848;684
1709;850;684
1710;850;684
1711;851;684
1712;851;684
1713;854;684
1714;854;684
1715;856;684
1716;856;684
1717;857;685
1718;857;685
1719;858;686
1720;858;686
1721;860;686
1722;860;686
1723;863;685
1724;863;685
1725;867;683
1726;867;683
1727;871;680
1728;871;680
1729;874;679
1730;874;679
1731;877;678
1732;878;677
1733;883;676
1734;883;676
1735;888;675
1736;888;675
1737;893;674
1738;893;674
1739;898;673
1740;898;673
1741;902;672
1742;902;672
1743;905;672
1744;905;672
1745;909;672
1746;909;672
1747;913;671
1748;913;671
1749;916;672
1750;916;672
1751;919;672
1752;919;672
1753;922;672
1754;922;672
1755;924;672
1756;924;672
1757;927;673
1758;927;673
1759;930;673
1760;929;673
1761;932;674
1762;932;674
1763;934;675
1764;934;675
1765;936;675
1766;936;675
1767;938;676
1768;938;676
1769;940;677
1770;940;677
1771;941;678
1772;941;678
1773;942;678
1774;942;678
1775;945;676
1776;945;676
1777;948;674
1778;949;674
1779;953;673
1780;953;673
1781;957;672
1782;957;672
1783;960;671
1784;960;671
1785;964;671
1786;964;671
1787;967;670
1788;967;670
1789;970;670
1790;970;670
1791;973;670
1792;973;670
1793;976;670
1794;976;670
1795;979;671
1796;979;671
1797;981;671
1798;981;671
1799;983;672
1800;983;672
1801;986;672
1802;986;672
1803;986;672
1804;986;672
1805;988;671
1806;988;671
1807;991;670
1808;991;670
1809;994;669
1810;994;669
1811;996;669
1812;996;669
1813;999;669
1814;999;669
1815;1002;669
1816;1002;669
1817;1004;669
1818;1004;669
1819;1005;668
1820;1005;668
1821;1006;667
1822;1006;667
1823;1007;667
1824;1007;667
1825;1010;667
