frame;red;green;blue
205;111.018305224;109.938982586;96.170917318
206;110.964984836;109.844086022;96.0969120485
207;111.150604839;109.816465054;96.5906586022
208;111.052486559;109.922244624;96.3663306452
209;110.465437788;109.244518922;95.3102918587
210;110.687375984;109.537666781;95.645706466
211;111.112364076;109.664652974;96.1617666801
212;111.146798228;109.699221372;96.1097462747
213;110.964089139;109.487649349;96.0530943751
214;110.822819156;109.30714964;95.9050332384
215;110.947519672;109.106671228;95.9138556278
216;110.861712264;109.299033619;95.976521029
217;110.313154587;108.815877671;95.2280407764
218;110.452138214;109.100513171;95.7500513171
219;110.177339572;109.663168449;95.5170454545
220;110.037299465;109.887566845;94.9501336898
221;112.218765192;112.331898048;96.9972220293
222;112.197505198;112.290575191;97.2553707554
223;116.705002834;117.764526644;104.659084467
224;116.4881661;117.742984694;104.506023243
225;116.913265306;118.546992481;107.10141425
226;117.228368673;118.704428865;108.052924077
227;117.098944461;118.383742725;108.493341225
228;116.85855429;118.39338643;108.251134187
229;115.361289526;117.040637352;107.030508893
230;115.650228649;116.993573106;107.852799407
231;113.488642275;114.357898387;105.230795908
232;112.631033183;113.484728507;104.378770739
233;110.426690079;111.64881475;101.701492537
234;110.587796313;111.675153644;101.461369622
235;110.29499561;111.115013169;101.556628622
236;109.875918913;110.985074627;101.053241256
237;109.609598214;110.171205357;100.899776786
238;109.812307692;110.405054945;101.058021978
239;109.967466772;110.819083515;101.136480857
240;109.582424122;110.63162071;100.970839119
241;110.133998435;110.883607199;100.838615023
242;109.600695154;110.249846657;99.9697403394
243;109.163751987;110.015103339;98.9912559618
244;109.096383148;110.109101749;98.8602941176
245;110.414097744;110.669736842;100.442669173
246;110.265636918;110.551487414;99.9467963387
247;110.040999237;110.368421053;99.5745614035
248;109.82821256;110.168309179;99.3615458937
249;110.367965368;110.23169584;100.260869565
250;110.188596491;109.973874905;100.089816934
251;110.507613282;110.560447624;100.893597505
252;110.291527313;110.421033073;100.546822742
253;110.731607143;110.30875;101.109464286
254;110.954049296;110.588556338;101.333978873
255;110.583376804;110.75621631;101.374369675
256;110.279255782;110.832898626;100.881759694
257;110.627798196;111.260942198;101.369194788
258;110.359239776;111.060750042;101.136602749
259;109.68810558;111.140494487;101.143835616
260;109.373872369;111.107250251;101.036752422
261;110.016932595;111.489742755;101.317811788
262;109.926706827;110.876506024;101.030120482
263;109.495759948;109.776255708;100.448793216
264;109.47097195;109.598499674;100.711676451
265;105.086160714;104.302827381;92.4930059524
266;104.859030197;104.362804878;92.7231416957
267;104.840302668;103.583632019;91.311827957
268;104.345061728;102.837654321;90.2335390947
269;105.440495675;104.215649599;91.1525991739
270;105.647572286;104.200763775;90.9638375809
271;106.484242258;104.685667306;90.828994245
272;106.403329679;104.848520143;90.6184571115
273;106.91553288;105.305996473;91.1446837994
274;107.371788628;105.96170705;91.7519176915
275;107.990316701;106.58692185;92.3943950786
276;107.902288935;106.483724408;92.2304462848
277;106.51937554;104.54843885;89.6664198445
278;106.450303371;104.286170013;89.2049790455
279;106.115906674;104.551510602;89.3354600613
280;105.949417307;104.840317382;89.1150508306
281;105.557020897;104.48974261;89.0119138634
282;106.069698123;104.214167935;89.5674150178
283;106.203756509;104.437577486;90.6117654352
284;106.140838086;104.557897347;90.268782544
